,age,workclass,fnlwgt,education,education.num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
0,50,6,83311,12,13,2,7.0,4,3,0,0,0,13,1,0
1,38,5,215646,3,9,4,4.0,0,3,0,0,0,40,1,0
2,53,5,234721,11,7,2,4.0,4,0,0,0,0,40,1,0
3,28,5,338409,12,13,2,5.0,1,0,1,0,0,40,13,0
4,37,5,284582,4,14,2,7.0,1,3,1,0,0,40,1,0
5,49,5,160187,15,5,0,13.0,0,0,1,0,0,16,19,0
6,52,6,209642,3,9,2,7.0,4,3,0,0,0,45,1,1
7,31,5,45781,4,14,5,5.0,0,3,1,14084,0,50,1,1
8,42,5,159449,12,13,2,7.0,4,3,0,5178,0,40,1,1
9,37,5,280464,0,10,2,7.0,4,0,0,0,0,80,1,1
10,30,1,141297,12,13,2,5.0,4,1,0,0,0,40,8,1
11,23,5,122272,12,13,5,3.0,5,3,1,0,0,30,1,0
12,32,5,205019,9,12,5,10.0,0,0,0,0,0,50,1,0
14,34,5,245487,6,4,2,11.0,4,4,0,0,0,45,21,0
15,25,6,176756,3,9,5,1.0,5,3,0,0,0,35,1,0
16,32,5,186824,3,9,5,6.0,3,3,0,0,0,40,1,0
17,38,5,28887,11,7,2,10.0,4,3,0,0,0,50,1,0
18,43,6,292175,4,14,4,7.0,3,3,1,0,0,45,1,1
19,40,5,193524,10,16,2,5.0,4,3,0,0,0,60,1,1
20,54,5,302146,3,9,3,13.0,3,0,1,0,0,20,1,0
21,35,2,76845,15,5,2,1.0,4,0,0,0,0,40,1,0
22,43,5,117037,11,7,2,11.0,4,3,0,0,2042,40,1,0
23,59,5,109015,3,9,4,2.0,3,3,1,0,0,40,1,0
24,56,4,216851,12,13,2,2.0,4,3,0,0,0,40,1,1
25,19,5,168294,3,9,5,9.0,5,3,0,0,0,40,1,0
27,39,5,367260,3,9,4,7.0,0,3,0,0,0,80,1,0
28,49,5,193366,3,9,2,9.0,4,3,0,0,0,40,1,0
29,23,4,190709,9,12,5,,0,3,0,0,0,52,1,0
30,20,5,266015,0,10,5,10.0,5,0,0,0,0,44,1,0
31,45,5,386940,12,13,4,7.0,5,3,0,0,1408,40,1,0
32,30,2,59951,0,10,2,3.0,5,3,0,0,0,40,1,0
33,22,1,311512,0,10,2,13.0,4,0,0,0,0,15,1,0
34,48,5,242406,11,7,5,6.0,3,3,0,0,0,40,4,0
35,21,5,197200,0,10,5,6.0,5,3,0,0,0,40,1,0
36,19,5,544091,3,9,6,3.0,1,3,1,0,0,25,1,0
38,48,6,265477,9,12,2,5.0,4,3,0,0,0,40,1,0
39,31,5,507875,15,5,2,6.0,4,3,0,0,0,43,1,0
40,53,6,88506,12,13,2,5.0,4,3,0,0,0,40,1,0
41,24,5,172987,12,13,2,2.0,4,3,0,0,0,50,1,0
42,49,5,94638,3,9,3,3.0,3,3,1,0,0,40,1,0
43,25,5,289980,3,9,5,4.0,0,3,0,0,0,35,1,0
44,57,2,337895,12,13,2,5.0,4,0,0,0,0,40,1,1
45,53,5,144361,3,9,2,6.0,4,3,0,0,0,38,1,0
46,44,5,128354,4,14,4,7.0,3,3,1,0,0,40,1,0
47,41,1,101603,14,11,2,9.0,4,3,0,0,0,40,1,0
48,29,5,271466,14,11,5,5.0,0,3,0,0,0,43,1,0
49,25,5,32275,0,10,2,7.0,1,2,1,0,0,40,1,0
51,47,5,51835,7,15,2,5.0,1,3,1,0,1902,60,15,1
52,50,2,251585,12,13,4,7.0,0,3,0,0,0,55,1,1
53,47,0,109832,3,9,4,7.0,0,3,0,0,0,60,1,0
54,43,5,237993,0,10,2,2.0,4,3,0,0,0,40,1,1
55,46,5,216666,2,3,2,6.0,4,3,0,0,0,40,21,0
56,35,5,56352,14,11,2,13.0,4,3,0,0,0,40,4,0
57,41,5,147372,3,9,2,3.0,4,3,0,0,0,48,1,0
58,30,5,188146,3,9,2,6.0,4,3,0,5013,0,40,1,0
59,30,5,59496,12,13,2,10.0,4,3,0,2407,0,40,1,0
61,48,5,149640,3,9,2,11.0,4,3,0,0,0,40,1,0
62,42,5,116632,10,16,2,5.0,4,3,0,0,0,45,1,1
63,29,5,105598,0,10,4,2.0,0,3,0,0,0,58,1,0
64,36,5,155537,3,9,2,9.0,4,3,0,0,0,40,1,0
65,28,5,183175,0,10,4,3.0,0,3,1,0,0,40,1,0
66,53,5,169846,3,9,2,3.0,1,3,1,0,0,40,1,1
67,49,0,191681,0,10,2,7.0,4,3,0,0,0,50,1,1
69,19,5,101509,0,10,5,5.0,5,3,0,0,0,32,1,0
70,31,5,309974,12,13,3,10.0,5,0,1,0,0,40,1,0
71,29,6,162298,12,13,2,10.0,4,3,0,0,0,70,1,1
72,23,5,211678,0,10,5,6.0,0,3,0,0,0,40,1,0
73,79,5,124744,0,10,2,5.0,2,3,0,0,0,20,1,0
74,27,5,213921,3,9,5,13.0,5,3,0,0,0,40,21,0
75,40,5,32214,9,12,2,3.0,4,3,0,0,0,40,1,0
77,18,5,309634,11,7,5,13.0,5,3,1,0,0,22,1,0
78,31,4,125927,6,4,2,1.0,4,3,0,0,0,40,1,0
79,18,5,446839,3,9,5,10.0,0,3,0,0,0,30,1,0
80,52,5,276515,12,13,2,13.0,4,3,0,0,0,40,13,0
81,46,5,51618,3,9,2,13.0,1,3,1,0,0,40,1,0
82,59,5,159937,3,9,2,10.0,4,3,0,0,0,48,1,0
83,44,5,343591,3,9,4,9.0,0,3,1,14344,0,40,1,1
84,53,5,346253,3,9,4,10.0,5,3,1,0,0,35,1,0
85,49,4,268234,3,9,2,,4,3,0,0,0,40,1,1
86,33,5,202051,4,14,2,5.0,4,3,0,0,0,50,1,0
